concept_id,category,data_value,gest_value
35102032,MTX,N/A,
35131868,MTX,N/A,
35133419,MTX,N/A,
35134979,MTX,N/A,
35135207,MTX,N/A,
35136275,MTX,N/A,
35137768,MTX,N/A,
35138619,MTX,N/A,
35140047,MTX,N/A,
35146832,MTX,N/A,
35148011,MTX,N/A,
35148528,MTX,N/A,
35149357,MTX,N/A,
35152751,MTX,N/A,
35155773,MTX,N/A,
35155961,MTX,N/A,
35157577,MTX,N/A,
35158283,MTX,N/A,
35159884,MTX,N/A,
35410075,MTX,N/A,
35410858,MTX,N/A,
35411350,MTX,N/A,
35411982,MTX,N/A,
35413075,MTX,N/A,
35413083,MTX,N/A,
35413099,MTX,N/A,
35414503,MTX,N/A,
35414504,MTX,N/A,
35414508,MTX,N/A,
35414522,MTX,N/A,
35414548,MTX,N/A,
35414552,MTX,N/A,
35414556,MTX,N/A,
35414583,MTX,N/A,
35414627,MTX,N/A,
35414686,MTX,N/A,
35414690,MTX,N/A,
35414693,MTX,N/A,
35414694,MTX,N/A,
43145188,CONTRA,N/A,
43145189,CONTRA,N/A,
40224817,CONTRA,N/A,
40224818,CONTRA,N/A,
40224819,CONTRA,N/A,
40224820,CONTRA,N/A,
40224821,CONTRA,N/A,
40224822,CONTRA,N/A,
40224823,CONTRA,N/A,
40224824,CONTRA,N/A,
40224825,CONTRA,N/A,
40224826,CONTRA,N/A,
40224827,CONTRA,N/A,
40224828,CONTRA,N/A,
40224829,CONTRA,N/A,
41042736,CONTRA,N/A,
41042737,CONTRA,N/A,
41042738,CONTRA,N/A,
41042739,CONTRA,N/A,
41042740,CONTRA,N/A,
41042741,CONTRA,N/A,
41042742,CONTRA,N/A,
41042743,CONTRA,N/A,
41042744,CONTRA,N/A,
41042745,CONTRA,N/A,
41042746,CONTRA,N/A,
41042747,CONTRA,N/A,
41042748,CONTRA,N/A,
41042749,CONTRA,N/A,
41042750,CONTRA,N/A,
41042751,CONTRA,N/A,
41042752,CONTRA,N/A,
41042753,CONTRA,N/A,
41042754,CONTRA,N/A,
41042755,CONTRA,N/A,
41042756,CONTRA,N/A,
41042757,CONTRA,N/A,
41042801,CONTRA,N/A,
41042802,CONTRA,N/A,
41042803,CONTRA,N/A,
41042804,CONTRA,N/A,
41042805,CONTRA,N/A,
41042806,CONTRA,N/A,
41043134,CONTRA,N/A,
41043135,CONTRA,N/A,
41043136,CONTRA,N/A,
41043137,CONTRA,N/A,
41043138,CONTRA,N/A,
41043139,CONTRA,N/A,
41043140,CONTRA,N/A,
